game,platform,genre,release_date,metascore,genre_code_RAWG,months_from_release
Touhou Genso Wanderer Reloaded,Switch,Role-Playing,2018-07-17,64,5.0,21
Override: Mech City Brawl,XONE,Action,2018-12-04,64,4.0,16
NASCAR Heat 3,PS4,Racing,2018-09-07,64,1.0,19
Sleep Tight,Switch,Action,2018-07-26,64,4.0,21
Mulaka,PS4,Action Adventure,2018-02-27,64,3.0,26
"Warhammer 40,000: Inquisitor - Martyr",PS4,Strategy,2018-08-23,64,10.0,20
The Council - Episode 5: Checkmate,PC,Adventure,2018-12-04,64,3.0,16
Rainbow Skies,PS4,Role-Playing,2018-06-26,64,5.0,22
Super Bomberman R,XONE,Puzzle,2018-06-12,63,7.0,22
InnerSpace,Switch,Simulation,2018-01-16,63,14.0,27
Airheart: Tales of Broken Wings,PS4,Action,2018-07-24,63,4.0,21
Penny-Punching Princess,Switch,Role-Playing,2018-04-03,63,5.0,24
Darksiders III,PS4,Action Adventure,2018-11-27,63,3.0,17
Battle Princess Madelyn,PS4,Action,2018-12-20,63,4.0,16
Fable Fortune,PC,Strategy,2018-02-21,63,10.0,26
Beholder: Complete Edition,PS4,Strategy,2018-01-16,63,10.0,27
State of Mind,Switch,Action Adventure,2018-08-15,63,3.0,20
Murderous Pursuits,PC,Action,2018-04-20,63,4.0,24
Secret of Mana,PS4,Role-Playing,2018-02-15,63,5.0,26
The Way Remastered,Switch,Action,2018-04-20,63,4.0,24
Salary Man Escape VR,PS4,Puzzle,2018-06-26,63,7.0,22
Trailblazers,PS4,Racing,2018-05-08,63,1.0,23
Garage,Switch,Action Adventure,2018-05-10,63,3.0,23
Planet Alpha,PS4,Action,2018-09-04,63,4.0,19
Call of Cthulhu,PS4,Role-Playing,2018-10-30,63,5.0,18
Mercenaries Wings: The False Phoenix,Switch,Action,2018-11-08,63,4.0,17
NBA 2K Playgrounds 2,XONE,Sports,2018-10-16,62,15.0,18
Deliver Us The Moon: Fortuna,PC,Adventure,2018-09-28,62,3.0,19
Blind,PS4,Adventure,2018-09-18,62,3.0,19
The Infectious Madness of Doctor Dekker,PS4,Adventure,2018-06-05,62,3.0,22
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Switch,Role-Playing,2018-03-27,62,5.0,25
Gravel,PC,Racing,2018-02-27,62,1.0,26
We Happy Few,PC,Action Adventure,2018-08-10,62,3.0,20
Gal Metal,Switch,Action,2018-10-30,62,4.0,18
The Station,PS4,Adventure,2018-02-20,62,3.0,26
Galak-Z: Variant S,Switch,Action,2018-07-12,62,4.0,21
Raging Justice,Switch,Action,2018-05-08,62,4.0,23
The Lost Child,PS4,Role-Playing,2018-06-19,61,5.0,22
World of Warriors,PS4,Action,2018-03-21,61,4.0,25
Sword Art Online: Fatal Bullet,PC,Action,2018-02-23,61,4.0,26
Destiny 2: Warmind,XONE,Action,2018-05-08,61,4.0,23
Downward Spiral: Horus Station,PS4,Adventure,2018-09-18,61,3.0,19
Island Time VR,PS4,Action Adventure,2018-04-03,61,3.0,24
Metal Max Xeno,PS4,Role-Playing,2018-09-25,61,5.0,19
Detective Gallo,Switch,Adventure,2018-08-17,61,3.0,20
The Witch and the Hundred Knight 2,PS4,Role-Playing,2018-03-27,61,5.0,25
Asterix & Obelix XXL 2,Switch,Action,2018-11-29,61,4.0,17
BRAWL,Switch,Action,2018-01-12,60,4.0,27
Payday 2,Switch,Action,2018-02-27,60,4.0,26
SYMMETRY,PC,Adventure,2018-02-20,60,3.0,26
Shelter Generations,Switch,Adventure,2018-04-12,60,3.0,24
SNK Heroines: Tag Team Frenzy,PS4,Action,2018-09-07,60,4.0,19
Naruto to Boruto: Shinobi Striker,XONE,Action,2018-08-31,60,4.0,20
Warriors Orochi 4,Switch,Action,2018-10-16,60,4.0,18
All-Star Fruit Racing,PS4,Racing,2018-08-21,60,1.0,20
GRIP: Combat Racing,Switch,Racing,2018-11-06,59,1.0,17
X4: Foundations,PC,Action Adventure,2018-11-30,59,3.0,17
Devious Dungeon,Switch,Action,2018-03-30,59,4.0,25
The Inpatient,PS4,Action Adventure,2018-01-23,59,3.0,27
Road Redemption,PS4,Simulation,2018-11-06,59,14.0,17
Jagged Alliance: Rage!,PC,Strategy,2018-12-06,58,10.0,16
Little Witch Academia: Chamber of Time,PS4,Action,2018-05-15,58,4.0,23
