game,platform,genre,release_date,metascore,genre_code_RAWG,months_from_release
Dark Souls II,PC,Action RPG,2014-04-25,91,5.0,72
Rayman Legends,PS4,Platformer,2014-02-18,90,83.0,74
Fez,PS4,Action,2014-03-25,90,4.0,73
Out of the Park Baseball 15,PC,Sports,2014-04-21,89,15.0,72
Minecraft: PlayStation 4 Edition,PS4,Action Adventure,2014-09-03,89,3.0,67
Mario Kart 8,WIIU,Driving,2014-05-30,88,1.0,71
Minecraft: Xbox One Edition,XONE,Action Adventure,2014-11-18,88,3.0,65
Hearthstone: Heroes of Warcraft,PC,Card Battle,2014-03-11,88,17.0,73
Mario Kart 8 DLC Pack 1,WIIU,Driving,2014-11-13,87,1.0,65
Diablo III: Reaper of Souls,PC,Action RPG,2014-03-25,87,5.0,73
Divinity: Original Sin,PC,Action RPG,2014-01-17,87,5.0,75
World of Warcraft: Warlords of Draenor,PC,Role-Playing,2014-11-13,87,5.0,65
Astebreed,PC,Action,2014-05-30,86,4.0,71
Titanfall,PC,Shooter,2014-03-11,86,2.0,73
Diablo III: Ultimate Evil Edition,XONE,Role-Playing,2014-08-19,86,5.0,68
Forza Horizon 2,XONE,Driving,2014-09-30,86,1.0,67
Resogun: Heroes,PS4,Action,2014-06-24,86,4.0,70
Legend of Grimrock II,PC,Role-Playing,2014-10-15,85,5.0,66
Bravely Default,3DS,Console-style RPG,2014-02-07,85,5.0,74
South Park: The Stick of Truth,PC,Role-Playing,2014-03-04,85,5.0,73
Dragon Age: Inquisition,XONE,General,2014-11-18,85,40.0,65
Super Smash Bros. for Nintendo 3DS,3DS,Fighting,2014-10-03,85,6.0,66
BattleBlock Theater,PC,Action,2014-05-15,85,4.0,71
Guilty Gear Xrd -SIGN-,PS4,Action,2014-12-16,84,4.0,64
TxK,VITA,Action,2014-02-11,84,4.0,74
ZEN Pinball 2: South Park: Super-Sweet Pinball,PS4,Action,2014-10-14,84,4.0,66
Frozen Synapse Prime,VITA,General,2014-09-23,84,40.0,67
Europa Universalis IV: Wealth of Nations,PC,Strategy,2014-05-29,84,10.0,71
Minecraft: PlayStation Vita Edition,VITA,Action Adventure,2014-10-14,84,3.0,66
Ultimate General: Gettysburg,PC,Strategy,2014-10-16,84,10.0,66
Persona Q: Shadow of the Labyrinth,3DS,Role-Playing,2014-11-25,83,5.0,65
The Blackwell Epiphany,PC,General,2014-04-24,83,40.0,72
Retro City Rampage DX,3DS,Action Adventure,2014-02-06,83,3.0,74
This War of Mine,PC,Action,2014-11-14,83,4.0,65
Metro Redux,PS4,Action,2014-08-26,83,4.0,68
The Swapper,PS4,Action,2014-08-05,83,4.0,68
Metal Gear Rising: Revengeance,PC,Action,2014-01-09,83,4.0,75
MLB 14: The Show,PS4,Sports,2014-05-06,83,15.0,71
Pokemon Omega Ruby,3DS,Role-Playing,2014-11-21,83,5.0,65
Theatrhythm Final Fantasy: Curtain Call,3DS,Action,2014-09-16,83,4.0,67
Outland,PC,Action,2014-09-29,83,4.0,67
ZEN Pinball 2: The Walking Dead,PS4,Action,2014-08-26,83,4.0,68
Dark Souls II: Crown of the Ivory King,PC,Role-Playing,2014-09-29,82,5.0,67
Pokemon Alpha Sapphire,3DS,Role-Playing,2014-11-21,82,5.0,65
Forza Horizon 2: Storm Island,XONE,Driving,2014-12-16,82,1.0,64
Sportsfriends,PS4,Sports,2014-05-06,82,15.0,71
Endless Legend,PC,Strategy,2014-04-24,82,10.0,72
Kero Blaster,PC,General,2014-05-11,82,40.0,71
Art of Balance,WIIU,Puzzle,2014-10-09,82,7.0,66
NBA 2K15,XONE,Sports,2014-10-07,82,15.0,66
Soul Sacrifice Delta,VITA,Role-Playing,2014-05-13,82,5.0,71
Dark Souls II: Crown of the Sunken King,PC,Role-Playing,2014-07-22,82,5.0,69
Lethal League,PC,Action,2014-08-27,82,4.0,68
FIFA 15,PS4,Sports,2014-09-23,82,15.0,67
PixelJunk Shooter Ultimate,PS4,Action,2014-06-03,82,4.0,70
Broken Age: Act 1,PC,General,2014-01-28,82,40.0,75
Siesta Fiesta,3DS,Puzzle,2014-07-24,81,7.0,69
Nidhogg,PC,General,2014-01-13,81,40.0,75
Kalimba,XONE,Action,2014-12-17,81,4.0,64
The Walking Dead: Season Two Episode 3 - In Harm's Way,PC,General,2014-05-13,81,40.0,71
Marvel Heroes 2015,PC,Role-Playing,2014-06-04,81,5.0,70
Gunslugs,VITA,Action,2014-02-18,81,4.0,74
Professor Layton and the Azran Legacy,3DS,General,2014-02-28,81,40.0,74
Company of Heroes 2: Ardennes Assault,PC,Strategy,2014-11-17,81,10.0,65
The Walking Dead: Season Two Episode 2 - A House Divided,PC,General,2014-03-04,81,40.0,73
Sunset Overdrive,XONE,General,2014-10-28,81,40.0,66
Sid Meier's Civilization: Beyond Earth,PC,Strategy,2014-10-23,81,10.0,66
Hatsune Miku: Project Diva f,VITA,Action,2014-03-04,81,4.0,73
Wasteland 2,PC,PC-style RPG,2014-09-18,81,5.0,67
Galactic Civilizations III,PC,Strategy,2014-03-27,81,10.0,73
Danganronpa 2: Goodbye Despair,VITA,Action,2014-09-02,81,4.0,67
Shadowrun: Dragonfall,PC,General,2014-02-27,81,40.0,74
Hatsune Miku: Project Diva F 2nd,VITA,Action,2014-11-18,81,4.0,65
Europa Universalis IV: Conquest of Paradise,PC,Strategy,2014-01-14,81,10.0,75
Company of Heroes 2: The Western Front Armies,PC,Strategy,2014-06-23,80,10.0,70
Super Time Force,XONE,Action,2014-05-14,80,4.0,71
Icewind Dale: Enhanced Edition,PC,Role-Playing,2014-10-30,80,5.0,66
Far Cry 4,PC,Action,2014-11-17,80,4.0,65
Super Time Force Ultra,PC,Action,2014-08-25,80,4.0,68
Star Wars Pinball: Heroes Within,PS4,Action,2014-04-29,80,4.0,72
Luftrausers,PC,General,2014-03-18,80,40.0,73
Kirby: Triple Deluxe,3DS,General,2014-05-02,80,40.0,71
Age of Wonders III,PC,Strategy,2014-03-31,80,10.0,73
Madden NFL 15,XONE,Sports,2014-08-26,80,15.0,68
Football Manager 2015,PC,Sports,2014-11-07,80,15.0,65
BioShock Infinite: Burial at Sea - Episode Two,PC,Shooter,2014-03-25,80,2.0,73
ArcheAge,PC,Role-Playing,2014-09-16,80,5.0,67
Geometry Wars 3: Dimensions,PC,Action,2014-11-25,79,4.0,65
LittleBigPlanet 3,PS4,Action,2014-11-18,79,4.0,65
Professor Layton VS Phoenix Wright Ace Attorney,3DS,General,2014-08-29,79,40.0,68
Trials Fusion,PS4,Driving,2014-04-15,79,1.0,72
Resident Evil 4: Ultimate HD Edition,PC,Action Adventure,2014-02-27,79,3.0,74
The Last Door,PC,Adventure,2014-05-20,79,3.0,71
Wolfenstein: The New Order,XONE,General,2014-05-20,79,40.0,71
Pro Evolution Soccer 2015,XONE,Action,2014-11-11,79,4.0,65
Scram Kitty and His Buddy on Rails,WIIU,General,2014-05-15,79,40.0,71
Atelier Rorona Plus: The Alchemist of Arland,VITA,Role-Playing,2014-07-22,79,5.0,69
Dark Souls II: Crown of the Old Iron King,PC,Role-Playing,2014-08-26,79,5.0,68
The Journey Down: Chapter Two,PC,Adventure,2014-08-25,78,3.0,68
Alien: Isolation,XONE,Action Adventure,2014-10-07,78,3.0,66
The Walking Dead: Season Two Episode 5 - No Going Back,PC,General,2014-08-26,78,40.0,68
Call of Duty: Advanced Warfare,PC,Action,2014-11-03,78,4.0,65
1001 Spikes,PS4,Action,2014-06-03,78,4.0,70
Swords & Soldiers HD,WIIU,Strategy,2014-05-22,78,10.0,71
LISA,PC,Action,2014-12-15,78,4.0,64
OlliOlli,PC,Sports,2014-07-22,78,15.0,69
Strider,PC,Action Adventure,2014-02-19,78,3.0,74
Mario Golf: World Tour,3DS,Sports,2014-05-02,78,15.0,71
Don't Starve: Console Edition,PS4,Action Adventure,2014-01-07,78,3.0,75
Watch Dogs,XONE,Action Adventure,2014-05-27,78,3.0,71
GRID Autosport,PC,Driving,2014-06-26,78,1.0,70
The Walking Dead: Season Two Episode 4 - Amid the Ruins,PC,General,2014-07-22,78,40.0,69
Hearthstone: Heroes of Warcraft - Curse of Naxxramas,PC,Strategy,2014-07-22,78,10.0,69
Skylanders Trap Team,PS4,Action,2014-10-05,78,4.0,66
Wargame: Red Dragon,PC,Strategy,2014-04-17,78,10.0,72
Inazuma Eleven,3DS,Sports,2014-02-13,78,15.0,74
Joe Dever's Lone Wolf HD Remastered,PC,Action,2014-11-27,78,4.0,65
Five Nights at Freddy's,PC,Action Adventure,2014-08-08,78,3.0,68
Azure Striker Gunvolt,3DS,Action,2014-08-29,77,4.0,68
The Keep,3DS,Role-Playing,2014-09-11,77,5.0,67
Tetrobot and Co.,WIIU,Puzzle,2014-10-30,77,7.0,66
DG2: Defense Grid 2,PS4,Strategy,2014-09-23,77,10.0,67
War Thunder,PS4,Action,2014-06-03,76,4.0,70
GoD Factory: Wingmen,PC,Simulation,2014-08-29,76,14.0,68
Escape Goat 2,PC,Action,2014-03-24,76,4.0,73
Race the Sun,PS4,Action,2014-10-21,76,4.0,66
Samurai Warriors 4,PS4,Action,2014-10-21,76,4.0,66
Tower of Guns,PC,Action,2014-03-04,76,4.0,73
The Lost Chronicles of Zerzura,PC,Adventure,2014-07-10,76,3.0,69
Hyrule Warriors,WIIU,Action,2014-09-26,76,4.0,67
Lone Survivor: The Director's Cut,WIIU,Action Adventure,2014-10-16,76,3.0,66
XType Plus,WIIU,Action,2014-08-14,76,4.0,68
Tales of Hearts R,VITA,Role-Playing,2014-11-11,76,5.0,65
Watch Dogs: Bad Blood,PS4,Action Adventure,2014-09-30,76,3.0,67
Borderlands: The Pre-Sequel,PC,Action,2014-10-13,75,4.0,66
Plants vs Zombies: Garden Warfare,PS4,Action,2014-08-19,75,4.0,68
Infested Planet,PC,Strategy,2014-03-06,75,10.0,73
Hohokum,PS4,General,2014-08-12,75,40.0,68
Metal Gear Solid V: Ground Zeroes,PS4,Action Adventure,2014-03-18,75,3.0,73
Jazzpunk,PC,General,2014-02-07,75,40.0,74
MIND: Path to Thalamus,PC,Action,2014-08-05,75,4.0,68
Inazuma Eleven Go: Shadow,3DS,Sports,2014-06-13,75,15.0,70
Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,XONE,Action,2014-06-09,75,4.0,70
Gravity Crash Ultra,VITA,Action,2014-08-12,75,4.0,68
Destiny,XONE,Shooter,2014-09-09,75,2.0,67
The Denpa Men 3: The Rise of Digitoll,3DS,Role-Playing,2014-05-08,75,5.0,71
Stick it to the Man!,PS4,Action,2014-05-06,75,4.0,71
Fenix Rage,PC,Action,2014-09-24,75,4.0,67
Sleeping Dogs: Definitive Edition,XONE,Action Adventure,2014-10-14,75,3.0,66
Game of Thrones: Episode One - Iron From Ice,PC,Action,2014-12-02,75,4.0,64
Anomaly 2,PS4,Strategy,2014-09-16,74,10.0,67
Dead Nation: Apocalypse Edition,PS4,Action,2014-03-04,74,4.0,73
Inazuma Eleven Go: Light,3DS,Sports,2014-06-13,74,15.0,70
Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,PC,Adventure,2014-10-15,74,3.0,66
CastleStorm: Definitive Edition,PS4,Strategy,2014-09-23,74,10.0,67
Shadows: Heretic Kingdoms,PC,Role-Playing,2014-06-13,74,5.0,70
Dance Central Spotlight,XONE,Action,2014-09-02,74,4.0,67
Paper Monsters Recut,WIIU,Action,2014-10-16,74,4.0,66
Cloud Chamber,PC,Role-Playing,2014-08-07,74,5.0,68
Yumi's Odd Odyssey,3DS,Platformer,2014-03-20,74,83.0,73
Life Goes On,PC,Platformer,2014-04-17,73,83.0,72
Another World: 20th Anniversary Edition,WIIU,Action,2014-06-19,73,4.0,70
Project Spark,XONE,General,2014-03-04,73,40.0,73
Scrolls,PC,Action,2014-12-12,73,4.0,64
Titanfall: Expedition,XONE,Action,2014-05-15,73,4.0,71
Outlast: Whistleblower,PC,Action Adventure,2014-05-06,73,3.0,71
Space Run,PC,Strategy,2014-06-13,73,10.0,70
King's Bounty: Dark Side,PC,Strategy,2014-05-16,73,10.0,71
Cosmophony,WIIU,Action,2014-10-30,73,4.0,66
Fantasy Life,3DS,Role-Playing,2014-10-24,73,5.0,66
Freedom Wars,VITA,Role-Playing,2014-10-28,73,5.0,66
MotoGP 14,PS4,Driving,2014-11-04,73,1.0,65
Hack 'n' Slash,PC,Action,2014-09-09,73,4.0,67
LEGO Batman 3: Beyond Gotham,PS4,Action Adventure,2014-11-11,73,3.0,65
Strike Vector,PC,General,2014-01-28,73,40.0,75
Warlock 2: The Exiled,PC,Strategy,2014-04-10,73,10.0,72
Banished,PC,General,2014-02-18,73,40.0,74
A Story About My Uncle,PC,Action,2014-05-28,73,4.0,71
Always Sometimes Monsters,PC,General,2014-05-21,73,40.0,71
Warriors Orochi 3 Ultimate,XONE,Action,2014-09-02,73,4.0,67
inFamous: First Light,PS4,Action Adventure,2014-08-26,73,3.0,68
God of War Collection,VITA,Action Adventure,2014-05-06,73,3.0,71
Gigantic Army,PC,General,2014-02-05,73,40.0,74
Dustforce,VITA,Action,2014-02-04,73,4.0,74
Dreamfall Chapters Book One: Reborn,PC,Adventure,2014-10-21,72,3.0,66
Armillo,WIIU,Action,2014-07-03,72,4.0,69
The Last Federation,PC,Strategy,2014-04-18,72,10.0,72
Oddworld: Munch's Oddysee HD,VITA,Action,2014-12-16,72,4.0,64
Lara Croft and the Temple of Osiris,XONE,Action,2014-12-09,72,4.0,64
Killzone: Shadow Fall - Intercept,PS4,Action,2014-06-24,72,4.0,70
Broken Sword 5: The Serpents' Curse - Part II,PC,Adventure,2014-04-17,72,3.0,72
MouseCraft,PC,General,2014-07-08,72,40.0,69
Mighty Gunvolt,3DS,Action,2014-08-29,72,4.0,68
Cloudbuilt,PC,Action,2014-03-20,72,4.0,73
Sherlock Holmes: Crimes & Punishments,XONE,Adventure,2014-09-30,72,3.0,67
Heavy Bullets,PC,Action,2014-05-15,72,4.0,71
Space Hulk Ascension,PC,Strategy,2014-11-12,72,10.0,65
Steel Empire,3DS,Action,2014-07-31,72,4.0,69
10 Second Ninja,PC,Action,2014-03-05,72,4.0,73
Killer Is Dead: Nightmare Edition,PC,Action Adventure,2014-05-23,71,3.0,71
Lords of Xulima,PC,Role-Playing,2014-11-14,71,5.0,65
Disney Magical World,3DS,Simulation,2014-04-11,71,14.0,72
J.U.L.I.A.: Among the Stars,PC,Strategy,2014-09-12,71,10.0,67
Disney Infinity 2.0 Edition,PS4,Action Adventure,2014-09-23,71,3.0,67
Tomodachi Life,3DS,Simulation,2014-06-06,71,14.0,70
Toukiden: The Age of Demons,VITA,General,2014-02-11,71,40.0,74
To End All Wars,PC,Strategy,2014-08-29,71,10.0,68
Dead State,PC,General,2014-12-04,70,40.0,64
Steel Diver: Sub Wars,3DS,Simulation,2014-02-13,70,14.0,74
Demon Gaze,VITA,General,2014-04-22,70,40.0,72
Dead Rising 3: Apocalypse Edition,PC,Action,2014-09-05,70,4.0,67
Inazuma Eleven 3: Team Ogre Attacks!,3DS,Sports,2014-02-14,70,15.0,74
Just Dance 2015,XONE,Action,2014-10-21,70,4.0,66
Tengami,WIIU,Adventure,2014-11-13,70,3.0,65
Lumino City,PC,Adventure,2014-12-02,70,3.0,64
Anomaly Defenders,PC,Strategy,2014-05-29,70,10.0,71
Mercenary Kings,PS4,Action,2014-04-01,70,4.0,72
Shadow Warrior,PS4,Action,2014-10-21,70,4.0,66
Assassin's Creed Unity,PS4,Action Adventure,2014-11-11,70,3.0,65
Call of Duty: Ghosts - Devastation,XONE,Action,2014-04-03,70,4.0,72
EA Sports UFC,PS4,General,2014-06-17,70,40.0,70
Styx: Master of Shadows,XONE,Action Adventure,2014-10-08,69,3.0,66
Abyss Odyssey,PC,Action Adventure,2014-07-15,69,3.0,69
Murasaki Baby,VITA,Action Adventure,2014-09-16,69,3.0,67
Hyperdimension Neptunia Re;Birth1,VITA,Role-Playing,2014-08-26,69,5.0,68
Magicka: Wizard Wars,PC,Action Adventure,2014-05-27,69,3.0,71
Dynasty Warriors 8: Xtreme Legends Complete Edition,PS4,Action,2014-03-25,69,4.0,73
Toybox Turbos,PC,Driving,2014-11-11,69,1.0,65
Minimum,PC,Action,2014-09-10,69,4.0,67
Lichdom: Battlemage,PC,Role-Playing,2014-03-19,69,5.0,73
Invizimals: The Alliance,VITA,Card Battle,2014-09-30,69,17.0,67
The Marvellous Miss Take,PC,Adventure,2014-11-20,69,3.0,65
Shadowgate,PC,Action,2014-08-21,68,4.0,68
Metrico,VITA,General,2014-08-05,68,40.0,68
Squids Odyssey,WIIU,Role-Playing,2014-05-22,68,5.0,71
The LEGO Movie Videogame,PC,Action Adventure,2014-02-07,68,3.0,74
Runers,PC,Action,2014-09-02,68,4.0,67
Gauntlet (2014),PC,Role-Playing,2014-09-23,68,5.0,67
Men of War: Assault Squad 2,PC,Strategy,2014-03-20,68,10.0,73
"Warhammer 40,000: Armageddon",PC,Strategy,2014-11-26,68,10.0,65
Costume Quest 2,PC,Role-Playing,2014-10-07,68,5.0,66
SPACECOM,PC,Strategy,2014-09-17,68,10.0,67
Tesla Effect: A Tex Murphy Adventure,PC,Adventure,2014-05-07,68,3.0,71
Dead Nation,VITA,Action,2014-04-15,68,4.0,72
The Witcher Adventure Game,PC,Adventure,2014-11-27,68,3.0,65
Tennis in the Face,PS4,Puzzle,2014-12-09,68,7.0,64
Munin,PC,Action,2014-06-10,68,4.0,70
Lords of the Fallen,PS4,Action RPG,2014-10-28,68,5.0,66
Ancient Space,PC,Strategy,2014-09-23,68,10.0,67
Tetris Ultimate,3DS,Puzzle,2014-11-11,68,7.0,65
Sword Art Online: Hollow Fragment,VITA,Role-Playing,2014-08-19,67,5.0,68
Monster Monpiece,VITA,Strategy,2014-05-27,67,10.0,71
Train Fever,PC,Simulation,2014-09-04,67,14.0,67
Deception IV: Blood Ties,VITA,Action Adventure,2014-03-25,67,3.0,73
SpinTires,PC,Driving,2014-06-12,67,1.0,70
Magical Beat,VITA,Action,2014-06-17,67,4.0,70
Strike Suit Zero: Director's Cut,XONE,Action,2014-04-08,67,4.0,72
Pro Cycling Manager Season 2014: Le Tour de France,PC,Sports,2014-06-19,67,15.0,70
CounterSpy,PS4,Action,2014-08-19,67,4.0,68
Football Manager Classic 2014,VITA,Sports,2014-04-11,67,15.0,72
Platformines,PC,Action,2014-03-28,67,4.0,73
Silence of the Sleep,PC,Adventure,2014-10-01,66,3.0,66
Age of Mythology: Extended Edition,PC,Strategy,2014-05-08,66,10.0,71
Sparkle 2,PS4,Action,2014-05-20,66,4.0,71
BlazeRush,PC,Driving,2014-10-28,66,1.0,66
Kirby Fighters Deluxe,3DS,Action,2014-08-29,66,4.0,68
AiRace Xeno,3DS,Driving,2014-06-12,66,1.0,70
Dragon Ball Z: Battle of Z,VITA,Action,2014-01-28,66,4.0,75
KickBeat: Steam Edition,PC,Action,2014-01-20,66,4.0,75
The Last Tinker: City of Colors,PS4,Action,2014-08-19,66,4.0,68
MXGP: The Official Motocross Videogame,PS4,Driving,2014-11-18,66,1.0,65
Assassin's Creed Liberation HD,PC,Action Adventure,2014-01-15,66,3.0,75
A Bird Story,PC,General,2014-11-07,66,40.0,65
Never Alone,XONE,Action,2014-11-19,66,4.0,65
One Piece: Unlimited World Red,WIIU,Action,2014-07-08,66,4.0,69
Destiny of Spirits,VITA,Action,2014-03-25,66,4.0,73
Concursion,PC,General,2014-06-06,66,40.0,70
Nintendo Pocket Football Club,3DS,Sports,2014-04-17,65,15.0,72
Elegy for a Dead World,PC,General,2014-12-10,65,40.0,64
Call of Duty: Ghosts - Onslaught,XONE,Action,2014-01-28,65,4.0,75
Sunset Overdrive and the Mystery of the Mooil Rig!,XONE,Action,2014-12-23,65,4.0,64
Unrest,PC,General,2014-07-23,65,40.0,69
Futuridium EP Deluxe,VITA,Action,2014-09-30,65,4.0,67
Risen 3: Titan Lords,PC,Role-Playing,2014-08-12,65,5.0,68
Dedede's Drum Dash Deluxe,3DS,Action,2014-08-29,65,4.0,68
How to Survive: Storm Warning Edition,PS4,Action Adventure,2014-11-04,65,3.0,65
Depth,PC,Shooter,2014-11-03,65,2.0,65
Yoshi's New Island,3DS,Action,2014-03-14,64,4.0,73
The Impossible Game,PC,Action,2014-05-08,64,4.0,71
Secret Ponchos,PS4,Action,2014-12-02,64,4.0,64
Borderlands 2,VITA,Shooter,2014-05-06,64,2.0,71
Chronology,PC,Action,2014-05-12,64,4.0,71
Gods Will Be Watching,PC,Adventure,2014-07-24,64,3.0,69
Cubemen 2,WIIU,Action,2014-09-04,63,4.0,67
Sniper Elite III,XONE,Shooter,2014-07-01,63,2.0,69
Table Top Racing,VITA,Driving,2014-08-05,63,1.0,68
Fist of Jesus,PC,Action,2014-10-17,63,4.0,66
"Sir, You Are Being Hunted",PC,Shooter,2014-05-02,63,2.0,71
PlayStation Vita Pets,VITA,Simulation,2014-06-03,63,14.0,70
Quest for Infamy,PC,Adventure,2014-07-10,63,3.0,69
Weapon Shop de Omasse,3DS,Role-Playing,2014-02-20,63,5.0,74
Buzz Aldrin's Space Program Manager,PC,Adventure,2014-10-31,62,3.0,66
Wooden Sen'SeY,WIIU,Action,2014-07-24,62,4.0,69
continue?9876543210,PC,Action,2014-01-03,62,4.0,75
Worms Battlegrounds,PS4,Strategy,2014-06-03,62,10.0,70
Conception II: Children of the Seven Stars,3DS,Role-Playing,2014-04-15,62,5.0,72
Sixty Second Shooter Prime,XONE,Action,2014-06-18,61,4.0,70
Shadowrun Chronicles: Boston Lockdown,PC,General,2014-03-31,61,40.0,73
F1 Race Stars: Powered Up Edition,WIIU,Driving,2014-01-16,61,1.0,75
Ryse: Son of Rome,PC,Action Adventure,2014-10-10,61,3.0,66
A City Sleeps,PC,Action,2014-10-16,61,4.0,66
F1 2014,PC,Driving,2014-10-16,61,1.0,66
Flockers,PS4,Puzzle,2014-09-23,61,7.0,67
Senran Kagura: Bon Appetit!,VITA,Action,2014-11-11,61,4.0,65
Kinect Sports Rivals,XONE,General,2014-04-08,60,40.0,72
Magic: Duels of the Planeswalkers 2015,PC,Strategy,2014-07-16,60,10.0,69
Batman: Arkham Origins Blackgate - Deluxe Edition,PC,Action Adventure,2014-04-01,60,3.0,72
Cooking Mama 5: Bon Appetit!,3DS,Action,2014-09-16,60,4.0,67
Firefall,PC,Shooter,2014-07-29,60,2.0,69
KickBeat: Special Edition,PS4,Action,2014-09-16,60,4.0,67
Mind Zero,VITA,Role-Playing,2014-05-27,59,5.0,71
Loadout,PS4,Action,2014-12-16,59,4.0,64
NHL 15,XONE,Sports,2014-09-09,59,15.0,67
Schrodinger's Cat and the Raiders of the Lost Quark,PC,Action,2014-09-23,59,4.0,67
Abyss,WIIU,Action,2014-05-01,59,4.0,71
AeternoBlade,3DS,Action,2014-02-18,59,4.0,74
Entwined,PS4,Action,2014-06-09,59,4.0,70
Dead Effect,PC,Action,2014-04-15,59,4.0,72
1954: Alcatraz,PC,General,2014-03-11,58,40.0,73
Secrets of Raetikon,PC,Action,2014-01-07,58,4.0,75
Castlevania: Lords of Shadow 2,PC,Action Adventure,2014-02-25,58,3.0,74
Toy Stunt Bike,3DS,Driving,2014-06-26,58,1.0,70
Cel Damage HD,PS4,Simulation,2014-04-22,58,14.0,72
Sacred 3,PC,Action RPG,2014-07-31,57,5.0,69
Randal's Monday,PC,Adventure,2014-11-12,57,3.0,65
Jet Car Stunts,PC,Action,2014-05-01,57,4.0,71
Akiba's Trip: Undead & Undressed,PS4,Action Adventure,2014-11-25,57,3.0,65
WWE 2K15,XONE,Action,2014-11-18,56,4.0,65
Surgeon Simulator: Anniversary Edition,PS4,Simulation,2014-08-12,56,14.0,68
Dead Rising 3: Fallen Angel,XONE,Action,2014-02-11,56,4.0,74
Run Like Hell!,VITA,Action,2014-09-16,56,4.0,67
Super Toy Cars,WIIU,Driving,2014-07-24,56,1.0,69
How to Survive,WIIU,Action Adventure,2014-06-19,55,3.0,70
Monochroma,PC,Action,2014-05-28,55,4.0,71
DreadOut,PC,Action Adventure,2014-05-15,55,3.0,71
Moebius: Empire Rising,PC,Adventure,2014-04-15,54,3.0,72
SpellForce 2: Demons of the Past,PC,Strategy,2014-01-14,54,10.0,75
In Space We Brawl,PS4,Action,2014-10-14,54,4.0,66
Hyperdimension Neptunia PP: Producing Perfection,VITA,Action,2014-06-03,54,4.0,70
Tour de France 2014,PS4,Sports,2014-07-22,53,15.0,69
Windforge,PC,Action,2014-03-11,53,4.0,73
Ice Cream Surfer,WIIU,Action,2014-09-04,53,4.0,67
Bound by Flame,PS4,Role-Playing,2014-05-06,53,5.0,71
Natural Doctrine,PS4,Strategy,2014-09-30,53,10.0,67
Bit Boy!! Arcade,3DS,Action,2014-04-17,53,4.0,72
Rabbids Invasion,XONE,Action,2014-11-18,53,4.0,65
NBA Live 15,XONE,Sports,2014-10-28,53,15.0,66
Yu-Gi-Oh! Zexal: World Duel Carnival,3DS,Strategy,2014-09-25,52,10.0,67
Escape Dead Island,PC,Action Adventure,2014-11-18,52,3.0,65
Worlds of Magic,PC,General,2014-09-20,52,40.0,67
Dead Rising 3: Operation Broken Eagle,XONE,Action,2014-01-21,52,4.0,75
Jagged Alliance: Flashback,PC,Strategy,2014-05-15,52,10.0,71
Enemy Front,PC,Shooter,2014-06-10,52,2.0,70
Dead Rising 3: The Last Agent,XONE,Action,2014-03-18,51,4.0,73
Murdered: Soul Suspect,XONE,Action,2014-06-03,51,4.0,70
Dead Rising 3: Chaos Rising,XONE,Action,2014-02-21,50,4.0,74
Chibi-Robo! Photo Finder,3DS,Action,2014-01-09,49,4.0,75
Yaiba: Ninja Gaiden Z,PC,Action Adventure,2014-03-21,49,3.0,73
Blue Estate,PS4,Action,2014-06-24,49,4.0,70
The Legend of Korra,XONE,Action Adventure,2014-10-22,49,3.0,66
Sonic Boom: Shattered Crystal,3DS,Action,2014-11-11,47,4.0,65
The Amazing Spider-Man 2,XONE,Action,2014-04-29,46,4.0,72
Harvest Moon 3D: The Lost Valley,3DS,Strategy,2014-11-04,46,10.0,65
Deus Ex: The Fall,PC,Action,2014-03-17,45,4.0,73
Power Rangers Super Megaforce,3DS,Action,2014-10-28,43,4.0,66
Transformers: Rise of the Dark Spark,PS4,Action Adventure,2014-06-24,43,3.0,70
One Piece: Romance Dawn,3DS,Role-Playing,2014-02-11,42,5.0,74
Wayward Manor,PC,General,2014-07-15,41,40.0,69
4PM,PC,Adventure,2014-07-09,41,3.0,69
Putty Squad,PS4,Action,2014-03-11,38,4.0,73
Fluster Cluck,PS4,Action,2014-10-21,37,4.0,66
Rambo: The Video Game,PC,Action,2014-02-21,34,4.0,74
Rekoil,PC,Action,2014-01-28,32,4.0,75
Sonic Boom: Rise of Lyric,WIIU,General,2014-11-11,32,40.0,65
Air Conflicts: Vietnam Ultimate Edition,PS4,Action,2014-09-16,30,4.0,67
Basement Crawl,PS4,Action,2014-02-25,27,4.0,74
Tenkai Knights: Brave Battle,3DS,Action,2014-10-07,26,4.0,66
Journey,PS4,Action,2015-07-21,92,4.0,57
The Witcher 3: Wild Hunt,XONE,Action RPG,2015-05-19,91,5.0,59
Metal Gear Solid V: The Phantom Pain,PC,Action Adventure,2015-09-01,91,3.0,55
Mario Kart 8 DLC Pack 2,WIIU,Driving,2015-04-23,90,1.0,60
The Witcher 3: Wild Hunt - Hearts of Stone,PC,Role-Playing,2015-10-13,89,5.0,54
Pillars of Eternity,PC,PC-style RPG,2015-03-26,89,5.0,61
3D Gunstar Heroes,3DS,Action,2015-08-20,89,4.0,56
3D Streets of Rage II,3DS,Action,2015-07-23,89,4.0,57
Destiny: The Taken King,XONE,Action,2015-09-15,89,4.0,55
Super Mario Maker,WIIU,Action,2015-09-11,88,4.0,55
